"","regionid","wages","num_employment","num_residents","value_2016","nhood_area","theta"
"1",7930,32365.2000953486,2837.50392145713,4576.45798174735,527011.25,2.37496537294674,0.382724373081914
"2",28173,30535.8797133246,1630.70385426289,7059.13663308882,258292.25,7.4560180955019,0.187656362235466
"3",33420,35729.1600410128,2970.01402932851,3358.39571463908,276502.59,4.13355528547972,0.469314432770351
"4",33597,38511.1636723198,5119.81106654239,10738.1540389518,419263.25,6.63459123803663,0.322854227038787
"5",51847,35657.3877702154,652.171232259067,1251.27672164723,462757.59,4.32436635408858,0.342626248813721
"6",137603,38353.1334998983,6114.48793086918,8479.65138036915,547107.31,6.53486612783709,0.418968724394776
"7",137634,33901.5816947908,1097.68695879321,2083.98813808948,109270.84,5.71041455033496,0.345002844529503
"8",137799,24439.0508777508,913.478863743747,656.981793245477,268501.16,0.784749663096666,0.581663004213683
"9",137841,38881.7665402224,613.160555580737,4047.70838842777,213936.25,6.20624311775849,0.131554987481239
"10",138129,40335.6186987648,1760.60969666214,1614.00656135479,259948.17,4.37092939526722,0.521721452766529
