"","X","Y","commarea","commarea_n","countyfp10","GEOID","name10","namelsad10","notes","statefp10","tractce10"
"1",-87.6300403557694,41.7424751824843,"44",44,"031","17031842400","8424","Census Tract 8424",NA,"17","842400"
"2",-87.6818820146571,41.8320944035083,"59",59,"031","17031840300","8403","Census Tract 8403",NA,"17","840300"
"3",-87.6350977761482,41.8510058477232,"34",34,"031","17031841100","8411","Census Tract 8411",NA,"17","841100"
"4",-87.6833419640078,41.8555618748275,"31",31,"031","17031841200","8412","Census Tract 8412",NA,"17","841200"
"5",-87.6314045257534,41.8710441935783,"32",32,"031","17031839000","8390","Census Tract 8390",NA,"17","839000"
"6",-87.6750793645062,41.8704156970662,"28",28,"031","17031838200","8382","Census Tract 8382",NA,"17","838200"
"7",-87.7299916303295,41.7749275255976,"65",65,"031","17031650301","6503.01","Census Tract 6503.01",NA,"17","650301"
"8",-87.6374120648527,41.6635979619392,"53",53,"031","17031530503","5305.03","Census Tract 5305.03",NA,"17","530503"
"9",-87.8441546681885,41.9753463378117,"76",76,"031","17031760803","7608.03","Census Tract 7608.03",NA,"17","760803"
"10",-87.6549360816469,41.988886306492,"77",77,"031","17031030601","306.01","Census Tract 306.01",NA,"17","030601"
"11",-87.6527316767909,41.9859193187882,"77",77,"031","17031030604","306.04","Census Tract 306.04",NA,"17","030604"
"12",-87.6944148749927,41.9868081707709,"2",2,"031","17031020801","208.01","Census Tract 208.01",NA,"17","020801"
"13",-87.6054489884556,41.6673323490286,"54",54,"031","17031540102","5401.02","Census Tract 5401.02",NA,"17","540102"
"14",-87.6925503051602,41.8637638526174,"29",29,"031","17031843300","8433","Census Tract 8433",NA,"17","843300"
"15",-87.5997934458805,41.6502199724618,"54",54,"031","17031540101","5401.01","Census Tract 5401.01",NA,"17","540101"
"16",-87.6100746264503,41.7482100712304,"44",44,"031","17031440201","4402.01","Census Tract 4402.01",NA,"17","440201"
"17",-87.6309005273006,41.9058597353398,"8",8,"031","17031080202","802.02","Census Tract 802.02",NA,"17","080202"
"18",-87.6422020664062,41.930582879755,"7",7,"031","17031070102","701.02","Census Tract 701.02",NA,"17","070102"
"19",-87.6524500291414,41.9672852685803,"3",3,"031","17031031501","315.01","Census Tract 315.01",NA,"17","031501"
"20",-87.652365568184,41.9636326365042,"3",3,"031","17031031502","315.02","Census Tract 315.02",NA,"17","031502"
"21",-87.6567344595015,41.7722943003427,"67",67,"031","17031834900","8349","Census Tract 8349",NA,"17","834900"
"22",-87.645087850073,41.7836302589252,"68",68,"031","17031834800","8348","Census Tract 8348",NA,"17","834800"
"23",-87.7130876517839,41.9555841019042,"16",16,"031","17031160502","1605.02","Census Tract 1605.02",NA,"17","160502"
"24",-87.7135753128166,41.9635482099538,"14",14,"031","17031140702","1407.02","Census Tract 1407.02",NA,"17","140702"
"25",-87.6251703503766,41.834959971717,"35",35,"031","17031842000","8420","Census Tract 8420",NA,"17","842000"
"26",-87.7720436133973,41.9567979655453,"15",15,"031","17031150402","1504.02","Census Tract 1504.02",NA,"17","150402"
"27",-87.5963096439432,41.7769448146764,"42",42,"031","17031834400","8344","Census Tract 8344",NA,"17","834400"
"28",-87.6940005196781,41.9725804826395,"4",4,"031","17031040201","402.01","Census Tract 402.01",NA,"17","040201"
"29",-87.6940960216405,41.9798549132939,"4",4,"031","17031040202","402.02","Census Tract 402.02",NA,"17","040202"
"30",-87.7053883912445,41.9952891820781,"2",2,"031","17031020702","207.02","Census Tract 207.02",NA,"17","020702"
"31",-87.6946305995906,41.994059242509,"2",2,"031","17031020802","208.02","Census Tract 208.02",NA,"17","020802"
"32",-87.7051863775275,42.0068652402524,"2",2,"031","17031020301","203.01","Census Tract 203.01",NA,"17","020301"
"33",-87.720185108283,41.8625775329778,"29",29,"031","17031838700","8387","Census Tract 8387",NA,"17","838700"
"34",-87.7018024116714,42.0008746348269,"2",2,"031","17031020601","206.01","Census Tract 206.01",NA,"17","020601"
"35",-87.7079132075926,41.8616225353182,"29",29,"031","17031841500","8415","Census Tract 8415",NA,"17","841500"
"36",-87.7008236245114,41.8678232670211,"29",29,"031","17031838600","8386","Census Tract 8386",NA,"17","838600"
"37",-87.7055523987856,41.8716190547367,"27",27,"031","17031837300","8373","Census Tract 8373",NA,"17","837300"
"38",-87.6936372815576,42.0013156187072,"2",2,"031","17031020602","206.02","Census Tract 206.02",NA,"17","020602"
"39",-87.6430241746969,41.9345408968687,"6",6,"031","17031063301","633.01","Census Tract 633.01",NA,"17","063301"
"40",-87.6841274003117,41.8847501046806,"28",28,"031","17031837800","8378","Census Tract 8378",NA,"17","837800"
"41",-87.6938012782991,41.8759747138075,"27",27,"031","17031837400","8374","Census Tract 8374",NA,"17","837400"
"42",-87.7061361817098,41.8818830545794,"27",27,"031","17031836900","8369","Census Tract 8369",NA,"17","836900"
"43",-87.6949634070413,42.0085406589962,"2",2,"031","17031020302","203.02","Census Tract 203.02",NA,"17","020302"
"44",-87.6786970962323,41.9942499718069,"2",2,"031","17031020902","209.02","Census Tract 209.02",NA,"17","020902"
"45",-87.6786203565633,42.0091481610491,"1",1,"031","17031010701","107.01","Census Tract 107.01",NA,"17","010701"
"46",-87.6546954398029,41.995380423108,"77",77,"031","17031030103","301.03","Census Tract 301.03",NA,"17","030103"
"47",-87.6346613141806,41.9347311624964,"6",6,"031","17031063303","633.03","Census Tract 633.03",NA,"17","063303"
"48",-87.6551319087829,41.9933966559625,"77",77,"031","17031030102","301.02","Census Tract 301.02",NA,"17","030102"
"49",-87.6633274640257,42.0045171089825,"1",1,"031","17031010502","105.02","Census Tract 105.02",NA,"17","010502"
"50",-87.6631269144168,42.0003200532806,"1",1,"031","17031010503","105.03","Census Tract 105.03",NA,"17","010503"
"51",-87.6727257202336,42.0090200015407,"1",1,"031","17031010702","107.02","Census Tract 107.02",NA,"17","010702"
"52",-87.6987209658255,41.8856736632309,"27",27,"031","17031837100","8371","Census Tract 8371",NA,"17","837100"
"53",-87.6986738785247,41.8783233822038,"27",27,"031","17031837000","8370","Census Tract 8370",NA,"17","837000"
"54",-87.6801485521851,42.0160076006451,"1",1,"031","17031010201","102.01","Census Tract 102.01",NA,"17","010201"
"55",-87.6860850849915,41.9942355790306,"2",2,"031","17031020901","209.01","Census Tract 209.01",NA,"17","020901"
"56",-87.6860816278263,41.9720667373515,"4",4,"031","17031040401","404.01","Census Tract 404.01",NA,"17","040401"
"57",-87.7125728510498,41.934166880409,"21",21,"031","17031210602","2106.02","Census Tract 2106.02",NA,"17","210602"
"58",-87.7129731663404,41.9592098269688,"16",16,"031","17031160501","1605.01","Census Tract 1605.01",NA,"17","160501"
"59",-87.7705333676238,41.920228900044,"19",19,"031","17031191302","1913.02","Census Tract 1913.02",NA,"17","191302"
"60",-87.7707370672983,41.927560402231,"19",19,"031","17031190602","1906.02","Census Tract 1906.02",NA,"17","190602"
"61",-87.6491914727294,41.8445748292368,"60",60,"031","17031840200","8402","Census Tract 8402",NA,"17","840200"
"62",-87.6321659574973,41.6742779139945,"53",53,"031","17031530501","5305.01","Census Tract 5305.01",NA,"17","530501"
"63",-87.7036896925957,41.9868915585526,"2",2,"031","17031020701","207.01","Census Tract 207.01",NA,"17","020701"
"64",-87.7560882760796,41.8691184829746,"25",25,"031","17031831400","8314","Census Tract 8314",NA,"17","831400"
"65",-87.7442595482136,41.9077663232358,"25",25,"031","17031831300","8313","Census Tract 8313",NA,"17","831300"
"66",-87.6639581244376,42.0094117493291,"1",1,"031","17031010501","105.01","Census Tract 105.01",NA,"17","010501"
"67",-87.6572424682146,41.8852882458388,"28",28,"031","17031833000","8330","Census Tract 8330",NA,"17","833000"
"68",-87.8448474183159,41.9834848037639,"76",76,"031","17031760801","7608.01","Census Tract 7608.01",NA,"17","760801"
"69",-87.7695725347493,41.8754876469996,"25",25,"031","17031252101","2521.01","Census Tract 2521.01",NA,"17","252101"
"70",-87.7598115682148,41.8765922881803,"25",25,"031","17031252102","2521.02","Census Tract 2521.02",NA,"17","252102"
"71",-87.7445832387377,41.8767584425805,"25",25,"031","17031252202","2522.02","Census Tract 2522.02",NA,"17","252202"
"72",-87.7128836553388,41.9258252089563,"22",22,"031","17031220601","2206.01","Census Tract 2206.01",NA,"17","220601"
"73",-87.7220524303469,41.9337846267449,"21",21,"031","17031210502","2105.02","Census Tract 2105.02",NA,"17","210502"
"74",-87.7119813661754,41.9293311773652,"22",22,"031","17031220602","2206.02","Census Tract 2206.02",NA,"17","220602"
"75",-87.7212482947184,41.9191816288635,"22",22,"031","17031220901","2209.01","Census Tract 2209.01",NA,"17","220901"
"76",-87.7218357297489,41.9227111889323,"22",22,"031","17031220902","2209.02","Census Tract 2209.02",NA,"17","220902"
"77",-87.7375418962931,41.9198284843776,"20",20,"031","17031200401","2004.01","Census Tract 2004.01",NA,"17","200401"
"78",-87.7296789634751,41.9196348322252,"20",20,"031","17031200402","2004.02","Census Tract 2004.02",NA,"17","200402"
"79",-87.7802654496774,41.9201521814016,"19",19,"031","17031191301","1913.01","Census Tract 1913.01",NA,"17","191301"
"80",-87.7804606071818,41.9274146184543,"19",19,"031","17031190601","1906.01","Census Tract 1906.01",NA,"17","190601"
"81",-87.7614216625107,41.9297959103066,"19",19,"031","17031190701","1907.01","Census Tract 1907.01",NA,"17","190701"
"82",-87.7610395390833,41.9261630428655,"19",19,"031","17031190702","1907.02","Census Tract 1907.02",NA,"17","190702"
"83",-87.7809523640748,41.9347276834421,"19",19,"031","17031190401","1904.01","Census Tract 1904.01",NA,"17","190401"
"84",-87.7712317706718,41.9348596372536,"19",19,"031","17031190402","1904.02","Census Tract 1904.02",NA,"17","190402"
"85",-87.6532412708409,41.9528214422575,"6",6,"031","17031832100","8321","Census Tract 8321",NA,"17","832100"
"86",-87.6404755859274,41.8016568356629,"61",61,"031","17031843800","8438","Census Tract 8438",NA,"17","843800"
"87",-87.6983043177952,41.8075337539685,"58",58,"031","17031842800","8428","Census Tract 8428",NA,"17","842800"
"88",-87.6277462428924,41.8272742440301,"35",35,"031","17031351500","3515","Census Tract 3515",NA,"17","351500"
