regionid,regionname,state,city,metro,countyname,value_2016
7930,Wicker Park,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,527011.25
28173,Cragin,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,258292.25
33420,Pilsen,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,276502.59
33597,Ravenswood,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,419263.25
51847,Edgebrook,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,462757.59
137603,Bucktown,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,547107.31
137634,Burnside,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,109270.84
137799,Chinatown,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,268501.16
137841,Clearing,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,213936.25
138129,Dunning,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,259948.17
138166,East Side,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,111496.84
138261,Englewood,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,46881.5
138342,Fernway Park,IL,Orland Park,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,205614
138732,Hegewisch,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,105465.91
139408,McKinley Park,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,227648.83
140024,Pullman,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,139449.42
140292,Sauganash,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,434125.25
140437,South Chicago,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,114995.09
140440,South Deering,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,71858.414
140462,Southmoor,IL,Orland Park,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,355248.91
140913,West Pullman,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,65490.582
198813,West End,IL,Evanston,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,244883.83
